ID, Sentence, Aspect, Intensity
R0283:S003, 肉粿沒有很焦脆。, 肉粿, 4.0#5.0
R0283:S004, 肉粿每一塊都好脆好恰好喜歡。, 肉粿#肉粿#肉粿, 6.25#6.0 6.12#6.0 6.62#6.62
R0284:S012, 口感有點微妙。, 口感, 4.75#4.75
R0284:S018, 很夠味起司也很香。, 起司#起司, 6.67#6.5 6.5#6.33
R0284:S021, 這款沙拉真是我的愛。, 沙拉, 7.5#7.25
R0284:S025, 味道是真的很好。, 味道, 6.17#6.17
R0284:S026, 堅果給的超級多。, 堅果, 6.83#6.83
R0284:S027, 雞肉烤得嫩有點微甜。, 雞肉#雞肉, 6.1#5.6 6.0#5.6
R0284:S034, 味道有點帶苦。, 味道, 4.17#5.0
R0285:S009, 蔬菜爽口。, 蔬菜, 6.25#5.25
R0285:S015, 他們家泡菜很好吃。, 泡菜, 6.62#6.62
R0285:S016, 口味偏甜, 口味, 5.12#4.75
R0285:S01˙, 很合我們口味。, 口味, 6.17#6.33
R0285:S020, 真的解膩又爽口。, NULL#NULL, 5.88#5.5 6.0#5.38
R0285:S023, 服務還蠻好的。, 服務, 6.12#5.38
R0285:S027, 牛舌新鮮。, 牛舌, 6.33#6.0
R0285:S030, 油脂多有嚼勁。, 油脂#NULL, 6.33#5.83 6.0#5.67
R0285:S031, 牛小排還是當天最佳。, 牛小排, 6.6#6.2
R0285:S032, 口感棒油脂豐富。, 口感#油脂, 6.0#5.25 6.12#5.38
R0285:S033, 柚子胡椒醬真的加分很多。, 柚子胡椒醬, 6.83#6.5
R0285:S034, 海鮮類也都不錯。, 海鮮類, 5.67#5.17
R0285:S035, 干貝很新鮮而且很大很飽滿。, 干貝#干貝#干貝, 6.25#6.0 6.25#6.0 6.25#6.0
R0285:S042, 因為店員烤得過程很用心也很認真。, 店員#店員, 6.5#6.5 6.5#6.5
R0286:S003, 炸的很酥脆軟嫩又多汁。, NULL#NULL#NULL, 6.5#6.5 6.5#6.33 6.5#6.5
R0286:S004, 胡椒鹽的份量和鹹度剛剛好。, 胡椒鹽的份量#鹹度, 6.0#5.75 6.0#5.75
R0286:S007, 鹹粿炸的酥酥脆脆。, 鹹粿, 6.5#6.5
R0286:S010, 四季豆炸的酥脆又保有水份。, 四季豆#四季豆, 6.0#5.0 6.0#5.0
R0287:S007, 我更喜歡的是他的炸蘿蔔糕。, 炸蘿蔔糕, 6.5#6.5
R0287:S008, 蘿蔔糕蠻大塊的又厚實。, 蘿蔔糕#蘿蔔糕, 6.62#6.25 6.62#5.62
R0287:S009, 外皮非常非常酥脆。, 外皮, 7.25#6.62
R0288:S003, 主打高CP值又大顆的手工小籠包。, 手工小籠包#手工小籠包, 6.5#5.88 6.5#5.25
R0288:S004, 搭配手工辣椒真的超夠味的。, 手工辣椒, 6.67#6.5
R0288:S009, 我超愛厚皮的小籠包。, 小籠包#小籠包, 8.0#8.0 6.25#6.0
R0289:S004, 開車前來還算方便。, 開車, 6.0#5.25
R0289:S009, 可以享受不被打擾的時光。, NULL, 6.0#5.62
R0289:S011, 果然美味。, NULL, 6.0#5.5
R0289:S013, 米飯粒粒分明又不油膩。, 米飯#米飯, 6.0#5.5 5.75#5.12
R0289:S017, 大量的蔥花讓口感又更豐富些。, 蔥花#口感, 6.25#6.12 6.5#6.12
R0289:S018, 蛋香也不錯。, 蛋香, 5.75#5.38
R0289:S029, 魚肉細緻溼潤鮮味足。, 魚肉#魚肉#魚肉, 6.5#5.83 6.5#5.83 6.5#6.0
R0289:S032, 麵衣薄酥無油。, 麵衣#麵衣, 6.17#5.5 5.83#5.33
R0289:S034, 有汁不膩口。, NULL#NULL, 6.67#5.5 6.67#5.5
