ID, Sentence, Aspect, Valence_Mean, Arousal_Mean
R1428:S011, 牛排外皮非常难吃。, 牛排外皮, 3.12, 6.62
R1428:S014, 推荐旁边的松露洋芋泥。, 松露洋芋泥, 6.30, 6.40
R1428:S016, 松露味很香。, 松露味, 6.00, 5.62
R1428:S017, 起司酱玉米粒也好吃。, 起司酱玉米粒, 6.38, 6.00
R1428:S018, 起司浓郁玉米鲜甜。, 起司浓郁玉米, 6.17, 5.33
R1428:S019, 巧达蔬菜浓汤满好喝的。, 巧达蔬菜浓汤, 5.88, 5.38
R1428:S022, 调味好吃。, 调味, 5.75, 5.38
R1428:S024, 意大利面表现很好。, 意大利面表现, 6.17, 5.67
R1428:S025, 沙拉新鲜。, 沙拉, 5.88, 5.38
R1428:S029, 三明治好吃。, 三明治, 5.88, 5.25
R1428:S033, 鸡腿排很软嫩。, 鸡腿排, 6.50, 6.12
R1428:S037, 餐厅环境干净。, 餐厅环境, 5.75, 5.38
R1428:S044, 餐厅食物选择性较少。, 食物选择性, 4.25, 4.88
R1429:S001, 喜欢这家餐厅的菜色。, 菜色, 6.75, 6.25
R1429:S005, 这间餐厅很划算。, 这间餐厅, 6.00, 5.67
R1429:S006, 龙虾肉很弹牙。, 龙虾肉, 6.50, 6.33
R1430:S007, 还有餐厅服务员收餐很积极。, 服务员收餐, 6.25, 5.88
R1430:S017, 反观早餐种模拟较丰富多元。, 早餐种类, 6.25, 5.62
R1431:S004, 牛排超赞。, 牛排, 6.83, 7.50
R1431:S006, 甜点芋头蛋糕绵密。, 芋头蛋糕, 6.00, 5.50
R1431:S008, 餐厅服务到位。, 餐厅服务, 5.75, 5.50
R1432:S002, 首先生鱼片很新鲜。, 生鱼片, 6.12, 6.00
R1432:S003, 凉拌沙拉有很多选择。, 凉拌沙拉, 5.88, 5.38
R1432:S010, 饮品选择偏少。, 饮品选择, 4.50, 4.83
R1432:S017, 布蕾是偏稀。, 布蕾, 4.33, 4.67
R1432:S021, 因为食材选择不多。, 食材选择, 4.88, 5.62
R1433:S001, 餐厅环境让人感觉非常舒服。, 餐厅环境, 6.67, 6.50
R1433:S010, 在这里用餐的整体氛围轻松舒适。, 氛围, 5.67, 5.33
R1434:S001, 但是餐点口味都有一定水准。, 餐点口味, 6.25, 5.75
R1434:S002, 餐点很好吃。, 餐点, 6.88, 6.50
R1434:S005, 肉非常软嫩。, 肉, 6.62, 6.88
R1434:S007, 咖啡还不错。, 咖啡, 6.00, 5.50
R1434:S008, 餐厅整体来说蛮不错的。, 餐厅, 6.00, 5.75
R1435:S003, 鸡肉烹煮过头而干柴。, 鸡肉, 4.00, 4.67
R1435:S005, 鲑鱼份量不多。, 鲑鱼份量, 4.75, 5.12
R1437:S002, 餐厅食材新鲜。, 食材, 6.00, 5.25
R1437:S006, 甜点份量小。, 甜点份量, 4.88, 5.62
R1438:S002, 餐点还不错。, 餐点, 6.00, 5.62
R1439:S009, 但餐点味道完全不到位。, 餐点味道, 2.50, 7.00
R1439:S010, 酸辣甜咸的平衡感很糟。, 酸辣甜咸的平衡感, 3.12, 5.75
R1439:S011, 东南亚料理好吃。, 东南亚料理, 6.00, 6.00
R1439:S016, 虾子好吃。, 虾子, 6.30, 5.80
R1439:S023, 凉拌牛肉不错。, 凉拌牛肉, 6.17, 5.50
R1439:S025, 酱料的味道完全不对。, 酱料的味道, 3.62, 6.12
R1439:S037, 甜点非常精致。, 甜点, 6.88, 6.88
R1439:S042, 鸡白汤吃完没有记忆点。, 鸡白汤, 4.00, 5.00
R1439:S044, 柠檬塔觉得好吃。, 柠檬塔, 6.12, 5.38
R1439:S050, 餐点品质很好。, 餐点品质, 6.17, 6.00
R1440:S008, 所有的菜色风味不到位。, 菜色风味, 4.00, 4.90
R1440:S012, 奶酪蛋糕口感真的不好。, 奶酪蛋糕口感, 3.33, 6.50
R1441:S005, 餐厅厨师动作很快。, 厨师动作, 6.00, 6.00
R1441:S011, 生蚝佐芒果莎莎好吃。, 生蚝佐芒果莎莎, 6.33, 5.50
R1441:S013, 生蚝配芒果莎莎很新鲜。, 生蚝配芒果莎莎, 6.67, 7.00
R1441:S014, 生蚝味道还不错。, 生蚝味道, 6.17, 5.33
R1441:S019, 自助餐菜色蛮多。, 自助餐菜色, 5.75, 5.62
R1441:S023, 现冲牛肉汤好喝。, 现冲牛肉汤, 5.88, 5.62
R1441:S027, 熏鲑鱼也不错。, 熏鲑鱼, 5.88, 5.25
R1441:S037, 那个鱿鱼味道我不喜欢。, 鱿鱼味道, 3.90, 5.40
R1441:S043, 台面的炖羊肉不错。, 炖羊肉, 5.80, 5.20
R1441:S051, 反正甜点我不推。, 甜点, 3.67, 6.17
R1441:S054, 只有黑巧克力比较好吃。, 黑巧克力, 5.88, 5.50
R1441:S056, 亚答枳果干水果好吃。, 亚答枳果干水果, 5.75, 5.25
